"National Provider Number (NPI)"	"Provider Name Prefix"	"First Name of Provider"	"Middle Initial of Provider"	"Last Name of Provider"	"Suffix of Provider"	"Physician / Non-Physician"	"Specialty Type  (area of medicine)"	"Street Address"	"Street Address 2"	"City"	"State"	"County"	"Zip"	"Network IDs"	"FIPS Code"	"ProvDirIND01of0218973IA252D20140722T115902"
"504"	"1691214433"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Concord"	"CA"	"countya"	"94519"	"NEN001"	"15004"	NA
"505"	"1863446634"	NA	"TRAISURE"	NA	"ADAMSON"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Locust"	"NC"	"countya"	"28097"	"MIN003"	"15004"	NA
"506"	"1628804662"	NA	"DARELL"	NA	"ADAMSON"	NA	"Non-Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Monterville"	"WV"	"countyb"	"26282"	"MIN003"	"15004"	NA
"507"	"1122970107"	NA	"GEANA"	NA	"JOHNSON"	NA	"Non-Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Brooke"	"VA"	"countyb"	"22430"	"MIN003"	"13006"	NA
"508"	"1538236071"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Phoenix"	"AZ"	"countyb"	"85031"	"MIN003"	"13006"	NA
"509"	"1033294304"	NA	"DARELL"	NA	"BLAKE"	NA	"Non-Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Funny River"	"AK"	"countya"	"99699"	"MIN003"	"13006"	NA
"510"	"1111631085"	NA	"DARELL"	NA	"OBLAICH"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"San Antonio"	"TX"	"countya"	"78204"	"NEN001"	"15004"	NA
"511"	"1430737459"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Physician"	"033 Urology"	"250 W 9TH ST"	NA	"Woodbury Heights"	"NJ"	"countya"	"08097"	"MIN003"	"13006"	NA
"512"	"1428469681"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Non-Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Benton Harbor"	"MI"	"countya"	"49022"	"NEN001"	"25002"	NA
"513"	"1445543267"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Phoenix"	"AZ"	"countya"	"85007"	"NEN001"	"25002"	NA
"514"	"1720726622"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Beverly"	"NJ"	"countya"	"08010"	"MIN003"	"25002"	NA
"515"	"1422014526"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Tisch Mills"	"WI"	"countyb"	"54240"	"NEN001"	"13006"	NA
"516"	"1927062115"	NA	"EDWARD"	NA	"ADAMSON"	NA	"Non-Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Frewsburg"	"NY"	"countyb"	"14738"	"MIN003"	"25002"	NA
"517"	"1153311637"	NA	"TERALIN"	NA	"JOHNSON"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Gulfport"	"MS"	"countyb"	"39505"	"NEN001"	"15004"	NA
"518"	"1486357182"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Temple"	"TX"	"countya"	"76502"	"NEN001"	"13006"	NA
"519"	"1446642246"	NA	"GREG"	NA	"BLAKELY"	NA	"Physician"	"066 Lung Transplant Program"	"250 W 9TH ST"	NA	"Philippi"	"WV"	"countyb"	"26416"	"MIN003"	"25002"	NA
"520"	"1372355740"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Non-Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Plaucheville"	"LA"	"countyb"	"71362"	"MIN003"	"13006"	NA
"521"	"1957536331"	NA	"TERALIN"	NA	"BLAKELY"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Pasadena"	"TX"	"countya"	"77504"	"MIN003"	"15004"	NA
"522"	"1324401379"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Kennewick"	"WA"	"countya"	"99338"	"NEN001"	"25002"	NA
"523"	"1355359645"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Non-Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"Dalton"	"MA"	"countya"	"01227"	"NEN001"	"25002"	NA
"524"	"1094042599"	NA	"GREG"	NA	"ACEMAN"	NA	"Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Kingman"	"AZ"	"countyb"	"86401"	"NEN001"	"15004"	NA
"525"	"1687915117"	NA	"GEANA"	NA	"BLAKE"	NA	"Non-Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"Canyon"	"CA"	"countya"	"94516"	"MIN003"	"15004"	NA
"526"	"1582904922"	NA	"DARELL"	NA	"BLAKELY"	NA	"Physician"	"010 Chiropractor"	"250 W 9TH ST"	NA	"Interlachen"	"FL"	"countyb"	"32149"	"MIN003"	"15004"	NA
"527"	"1886556775"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Patricksburg"	"IN"	"countya"	"47455"	"MIN003"	"15004"	NA
"528"	"1545993834"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Cape Canaveral"	"FL"	"countya"	"32920"	"NEN001"	"13006"	NA
"529"	"1187499254"	NA	"EDWARD"	NA	"ADAMSON"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Texas City"	"TX"	"countyb"	"77591"	"MIN003"	"15004"	NA
"530"	"1991195112"	NA	"RANDOLPH"	NA	"JOHNSON"	NA	"Non-Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"West Ossipee"	"NH"	"countya"	"03890"	"MIN003"	"13006"	NA
"531"	"1865805991"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Non-Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"Friendship"	"AR"	"countyb"	"71942"	"NEN001"	"13006"	NA
"532"	"1446722429"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"016 Gynecology (OB/GYN)"	"250 W 9TH ST"	NA	"Nahunta"	"GA"	"countya"	"31553"	"NEN001"	"25002"	NA
"533"	"1683321368"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Madison"	"WI"	"countyb"	"53789"	"MIN003"	"25002"	NA
"534"	"1453001620"	NA	"CALLIS"	NA	"OBLAICH"	NA	"Non-Physician"	"064 Kidney Transplant Program"	"250 W 9TH ST"	NA	"Foster"	"VA"	"countya"	"23056"	"NEN001"	"25002"	NA
"535"	"1626649472"	NA	"EDWARD"	NA	"ACEMAN"	NA	"Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Tracy"	"CA"	"countyb"	"95378"	"MIN003"	"25002"	NA
"536"	"1636838790"	NA	"GREG"	NA	"ACEMAN"	NA	"Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Cleveland"	"GA"	"countya"	"30528"	"MIN003"	"13006"	NA
"537"	"1489480611"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Non-Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Roanoke"	"VA"	"countya"	"24022"	"NEN001"	"25002"	NA
"538"	"1958431233"	NA	"DARELL"	NA	"ACEMAN"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"New York"	"NY"	"countya"	"10090"	"NEN001"	"13006"	NA
"539"	"1555423134"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Non-Physician"	"021 Medical Oncology & Surgical Oncology"	"250 W 9TH ST"	NA	"Saint Johnsbury Center"	"VT"	"countyb"	"05863"	"NEN001"	"13006"	NA
"540"	"1445761139"	NA	"GEANA"	NA	"BLAKE"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Bedford"	"TX"	"countya"	"76021"	"MIN003"	"15004"	NA
"541"	"1538407670"	NA	"RANDOLPH"	NA	"OBLAICH"	NA	"Non-Physician"	"031 Rheumatology"	"250 W 9TH ST"	NA	"Manistee"	"MI"	"countya"	"49660"	"NEN001"	"15004"	NA
"542"	"1727052122"	NA	"DARELL"	NA	"BLAKE"	NA	"Non-Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Lufkin"	"TX"	"countyb"	"75915"	"MIN003"	"25002"	NA
"543"	"1421191554"	NA	"GREG"	NA	"ACEMAN"	NA	"Non-Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Clifford"	"MI"	"countyb"	"48727"	"MIN003"	"15004"	NA
"544"	"1814442507"	NA	"CALLIS"	NA	"ABEURISHAL"	NA	"Non-Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Cumberland"	"MD"	"countya"	"21502"	"MIN003"	"15004"	NA
"545"	"1172604555"	NA	"GREG"	NA	"OBLAICH"	NA	"Non-Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Wiseman"	"AR"	"countyb"	"72587"	"MIN003"	"15004"	NA
"546"	"1888716927"	NA	"GEANA"	NA	"ADAMSON"	NA	"Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Elm City"	"NC"	"countyb"	"27822"	"MIN003"	"15004"	NA
"547"	"1193270829"	NA	"TRAISURE"	NA	"ABEURISHAL"	NA	"Non-Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"Ankeny"	"IA"	"countya"	"50023"	"MIN003"	"13006"	NA
"548"	"1937919651"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Richmond"	"VA"	"countya"	"23229"	"MIN003"	"13006"	NA
"549"	"1680069037"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Camp Creek"	"WV"	"countyb"	"25820"	"MIN003"	"25002"	NA
"550"	"1075316598"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Non-Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Childwold"	"NY"	"countyb"	"12922"	"MIN003"	"15004"	NA
"551"	"1258707473"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Chelsea"	"NY"	"countya"	"12512"	"MIN003"	"25002"	NA
"552"	"1865329393"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Bostic"	"NC"	"countya"	"28018"	"MIN003"	"15004"	NA
"553"	"1453349204"	NA	"EDWARD"	NA	"BLAKE"	NA	"Non-Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Saint Albans"	"NY"	"countyb"	"11412"	"NEN001"	"15004"	NA
"554"	"1626930742"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Salem"	"AR"	"countya"	"72576"	"NEN001"	"15004"	NA
"555"	"1548501461"	NA	"GREG"	NA	"ABEURISHAL"	NA	"Non-Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Snohomish"	"WA"	"countya"	"98291"	"NEN001"	"13006"	NA
"556"	"1178283817"	NA	"EDWARD"	NA	"ABEURISHAL"	NA	"Non-Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Farmer City"	"IL"	"countyb"	"61842"	"MIN003"	"13006"	NA
"557"	"1697517250"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"012 Endocrinology"	"250 W 9TH ST"	NA	"Horseheads"	"NY"	"countya"	"14844"	"MIN003"	"25002"	NA
"558"	"1905560895"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Cincinnati"	"OH"	"countyb"	"45232"	"NEN001"	"15004"	NA
"559"	"1146736713"	NA	"GEANA"	NA	"ADAMSON"	NA	"Non-Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Old Hickory"	"TN"	"countyb"	"37138"	"MIN003"	"25002"	NA
"560"	"1051900319"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Marshfield"	"MO"	"countya"	"65706"	"MIN003"	"13006"	NA
"561"	"1688091854"	NA	"GREG"	NA	"OBLAICH"	NA	"Non-Physician"	"022 Radiation Oncology"	"250 W 9TH ST"	NA	"Ghent"	"MN"	"countya"	"56239"	"MIN003"	"25002"	NA
"562"	"1213394459"	NA	"GREG"	NA	"ADAMSON"	NA	"Non-Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"Assumption"	"IL"	"countya"	"62510"	"MIN003"	"15004"	NA
"563"	"1388483325"	NA	"TERALIN"	NA	"BLAKELY"	NA	"Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Woodward"	"OK"	"countya"	"73801"	"NEN001"	"13006"	NA
"564"	"1334086997"	NA	"RANDOLPH"	NA	"BLAKE"	NA	"Non-Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Cunningham"	"KY"	"countya"	"42035"	"NEN001"	"13006"	NA
"565"	"1381352434"	NA	"GEANA"	NA	"OBLAICH"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Eldorado"	"OK"	"countyb"	"73537"	"NEN001"	"25002"	NA
"566"	"1211433847"	NA	"EDWARD"	NA	"ADAMSON"	NA	"Non-Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Dixon"	"MO"	"countyb"	"65495"	"NEN001"	"25002"	NA
"567"	"1359156337"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Caney"	"OK"	"countya"	"74533"	"NEN001"	"25002"	NA
"568"	"1210349293"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Keystone"	"WV"	"countya"	"24852"	"MIN003"	"25002"	NA
"569"	"1472082410"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Lakewood"	"WI"	"countya"	"54138"	"MIN003"	"25002"	NA
"570"	"1634061966"	NA	"TERALIN"	NA	"BLAKE"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Varna"	"IL"	"countyb"	"61375"	"MIN003"	"25002"	NA
"571"	"1776149838"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Non-Physician"	"Dental - Periodontist"	"250 W 9TH ST"	NA	"Islesford"	"ME"	"countya"	"04646"	"NEN001"	"13006"	NA
"572"	"1602477604"	NA	"PRESTON"	NA	"OBLAICH"	NA	"Non-Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Oak Hill"	"AL"	"countyb"	"36766"	"NEN001"	"15004"	NA
"573"	"1197838753"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Bunch"	"OK"	"countyb"	"74931"	"NEN001"	"25002"	NA
"574"	"1609435222"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Lansing"	"MI"	"countyb"	"48917"	"NEN001"	"15004"	NA
"575"	"1269851530"	NA	"GREG"	NA	"JOHNSON"	NA	"Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Newport"	"IN"	"countyb"	"47966"	"NEN001"	"25002"	NA
"576"	"1665452951"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Dover"	"KS"	"countyb"	"66420"	"NEN001"	"15004"	NA
"577"	"1726318422"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Morgan City"	"MS"	"countyb"	"38946"	"NEN001"	"13006"	NA
"578"	"1801637204"	NA	"GEANA"	NA	"ACUNA-001"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"State Line"	"IN"	"countya"	"47982"	"NEN001"	"25002"	NA
"579"	"1605775883"	NA	"PRESTON"	NA	"ACUNA-001"	NA	"Physician"	"049 Physical Therapy (including Ambulatory Health Care Facilities - Physical Therapy)"	"250 W 9TH ST"	NA	"Fort Wayne"	"IN"	"countyb"	"46885"	"NEN001"	"25002"	NA
"580"	"1131227427"	NA	"DARELL"	NA	"BLAKELY"	NA	"Non-Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Austin"	"TX"	"countyb"	"78739"	"MIN003"	"25002"	NA
"581"	"1083802874"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Little Hocking"	"OH"	"countyb"	"45742"	"MIN003"	"15004"	NA
"582"	"1971017716"	NA	"TERALIN"	NA	"ADAMSON"	NA	"Non-Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Hematite"	"MO"	"countya"	"63047"	"NEN001"	"15004"	NA
"583"	"1493810551"	NA	"GREG"	NA	"BLAKELY"	NA	"Non-Physician"	"066 Lung Transplant Program"	"250 W 9TH ST"	NA	"Animas"	"NM"	"countya"	"88020"	"NEN001"	"15004"	NA
"584"	"1723382104"	NA	"CALLIS"	NA	"BLAKE"	NA	"Non-Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"Tracy"	"MN"	"countyb"	"56175"	"MIN003"	"15004"	NA
"585"	"1355039193"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Memphis"	"MO"	"countyb"	"63555"	"MIN003"	"13006"	NA
"586"	"1348918492"	NA	"TERALIN"	NA	"ACUNA-001"	NA	"Non-Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Hartford"	"CT"	"countyb"	"06161"	"NEN001"	"13006"	NA
"587"	"1235824288"	NA	"GEANA"	NA	"BLAKELY"	NA	"Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Willis"	"TX"	"countyb"	"77318"	"MIN003"	"13006"	NA
"588"	"1875328415"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"067 Pancreas Transplant Program"	"250 W 9TH ST"	NA	"Kimper"	"KY"	"countyb"	"41539"	"NEN001"	"25002"	NA
"589"	"1321356969"	NA	"GREG"	NA	"BLAKE"	NA	"Non-Physician"	"034 Vascular Surgery"	"250 W 9TH ST"	NA	"Glen Richey"	"PA"	"countya"	"16837"	"NEN001"	"13006"	NA
"590"	"1369090914"	NA	"GEANA"	NA	"ACUNA-001"	NA	"Physician"	"101 Pediatrics"	"250 W 9TH ST"	NA	"Saint Paul"	"KY"	"countyb"	"41170"	"NEN001"	"25002"	NA
"591"	"1954853143"	NA	"GEANA"	NA	"ADAMSON"	NA	"Non-Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Doddsville"	"MS"	"countyb"	"38736"	"MIN003"	"15004"	NA
"592"	"1180709370"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Non-Physician"	"030 Pulmonary Disease"	"250 W 9TH ST"	NA	"Dayton"	"MT"	"countya"	"59914"	"NEN001"	"13006"	NA
"593"	"1891843993"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Physician"	"022 Radiation Oncology"	"250 W 9TH ST"	NA	"Princeton"	"KY"	"countya"	"42445"	"MIN003"	"15004"	NA
"594"	"1378140301"	NA	"GREG"	NA	"ACEMAN"	NA	"Non-Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Poston"	"AZ"	"countya"	"85371"	"NEN001"	"13006"	NA
"595"	"1552245194"	NA	"GREG"	NA	"OBLAICH"	NA	"Non-Physician"	"049 Physical Therapy (including Ambulatory Health Care Facilities - Physical Therapy)"	"250 W 9TH ST"	NA	"Spokane"	"WA"	"countyb"	"99211"	"NEN001"	"13006"	NA
"596"	"1517524820"	NA	"GREG"	NA	"JOHNSON"	NA	"Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"San Marcos"	"CA"	"countyb"	"92079"	"NEN001"	"25002"	NA
"597"	"1265672001"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Physician"	"003 Internal Medicine"	"250 W 9TH ST"	NA	"Demarest"	"NJ"	"countyb"	"07627"	"MIN003"	"13006"	NA
"598"	"1449887234"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Non-Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Madden"	"MS"	"countyb"	"39109"	"NEN001"	"15004"	NA
"599"	"1270843608"	NA	"GREG"	NA	"ADAMSON"	NA	"Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Ellenburg Depot"	"NY"	"countya"	"12935"	"NEN001"	"13006"	NA
"600"	"1479293112"	NA	"GEANA"	NA	"ACEMAN"	NA	"Physician"	"028 Podiatrist"	"250 W 9TH ST"	NA	"Brookfield"	"WI"	"countyb"	"53005"	"MIN003"	"13006"	NA
"601"	"1145375868"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"Reno"	"NV"	"countyb"	"89503"	"MIN003"	"25002"	NA
"602"	"1805427136"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Non-Physician"	"004 Geriatrics"	"250 W 9TH ST"	NA	"Combes"	"TX"	"countyb"	"78535"	"NEN001"	"13006"	NA
"603"	"1947752806"	NA	"DARELL"	NA	"ACEMAN"	NA	"Non-Physician"	"028 Podiatrist"	"250 W 9TH ST"	NA	"Inglewood"	"CA"	"countya"	"90303"	"NEN001"	"13006"	NA
"604"	"1331325001"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Non-Physician"	"031 Rheumatology"	"250 W 9TH ST"	NA	"Electra"	"TX"	"countya"	"76360"	"NEN001"	"13006"	NA
"605"	"1172101442"	NA	"EDWARD"	NA	"ADAMSON"	NA	"Physician"	"046 Skilled Nursing Facilities"	"250 W 9TH ST"	NA	"Albany"	"NY"	"countyb"	"12242"	"NEN001"	"15004"	NA
"606"	"1757349263"	NA	"TERALIN"	NA	"JOHNSON"	NA	"Physician"	"019 Neurology"	"250 W 9TH ST"	NA	"Carter"	"OK"	"countya"	"73627"	"NEN001"	"15004"	NA
"607"	"1909852335"	NA	"GREG"	NA	"ACUNA-001"	NA	"Physician"	"067 Pancreas Transplant Program"	"250 W 9TH ST"	NA	"Saint Petersburg"	"FL"	"countya"	"33732"	"MIN003"	"13006"	NA
"608"	"1503291987"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"006 Primary Care – Nurse Practitioner"	"250 W 9TH ST"	NA	"Colon"	"MI"	"countya"	"49040"	"MIN003"	"25002"	NA
"609"	"1820736389"	NA	"PRESTON"	NA	"BLAKE"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Whittier"	"CA"	"countya"	"90601"	"NEN001"	"25002"	NA
"610"	"1759168241"	NA	"CALLIS"	NA	"BLAKE"	NA	"Physician"	"062 Heart/Lung Transplant Program"	"250 W 9TH ST"	NA	"Inglewood"	"CA"	"countya"	"90307"	"NEN001"	"25002"	NA
"611"	"1984380576"	NA	"CALLIS"	NA	"OBLAICH"	NA	"Non-Physician"	"012 Endocrinology"	"250 W 9TH ST"	NA	"Enning"	"SD"	"countya"	"57737"	"NEN001"	"13006"	NA
"612"	"1584676344"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Physician"	"062 Heart/Lung Transplant Program"	"250 W 9TH ST"	NA	"Vanderpool"	"TX"	"countya"	"78885"	"NEN001"	"25002"	NA
"613"	"1474969838"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Non-Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Kerman"	"CA"	"countya"	"93630"	"NEN001"	"25002"	NA
"614"	"1492007693"	NA	"CALLIS"	NA	"JOHNSON"	NA	"Non-Physician"	"047 Diagnostic Radiology (including Ambulatory Health Care Facilities – Radiology and Magnetic Resonance Imaging (MRI)"	"250 W 9TH ST"	NA	"Proctorsville"	"VT"	"countyb"	"05153"	"MIN003"	"15004"	NA
"615"	"1315144694"	NA	"PRESTON"	NA	"ACEMAN"	NA	"Physician"	"022 Radiation Oncology"	"250 W 9TH ST"	NA	"Luray"	"VA"	"countya"	"22875"	"MIN003"	"15004"	NA
"616"	"1444784914"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Austin"	"TX"	"countya"	"78780"	"MIN003"	"13006"	NA
"617"	"1908373612"	NA	"TRAISURE"	NA	"ACUNA-001"	NA	"Physician"	"043 Critical Care Services - Intensive Care Units (ICU)"	"250 W 9TH ST"	NA	"Rhome"	"TX"	"countya"	"76078"	"MIN003"	"15004"	NA
"618"	"1160361040"	NA	"EDWARD"	NA	"JOHNSON"	NA	"Physician"	"030 Pulmonary Disease"	"250 W 9TH ST"	NA	"Las Vegas"	"NV"	"countyb"	"89178"	"NEN001"	"15004"	NA
"619"	"1659205667"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"Detroit"	"MI"	"countya"	"48217"	"NEN001"	"15004"	NA
"620"	"1954492172"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Non-Physician"	"051 Speech Therapy"	"250 W 9TH ST"	NA	"Florence"	"AZ"	"countya"	"85132"	"NEN001"	"13006"	NA
"621"	"1948488262"	NA	"DARELL"	NA	"ADAMSON"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Meridian"	"MS"	"countya"	"39307"	"NEN001"	"13006"	NA
"622"	"1891826099"	NA	"GREG"	NA	"ACUNA-001"	NA	"Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Bastrop"	"TX"	"countya"	"78602"	"NEN001"	"25002"	NA
"623"	"1398025260"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Non-Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Fpo"	"AE"	"countyb"	"09363"	"NEN001"	"13006"	NA
"624"	"1168908763"	NA	"DARELL"	NA	"ACUNA-001"	NA	"Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Peapack"	"NJ"	"countya"	"07977"	"MIN003"	"25002"	NA
"625"	"1975456716"	NA	"CALLIS"	NA	"BLAKE"	NA	"Non-Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Albuquerque"	"NM"	"countya"	"87108"	"NEN001"	"25002"	NA
"626"	"1501105096"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"042 Cardiac Catheterization Services"	"250 W 9TH ST"	NA	"Nineveh"	"PA"	"countyb"	"15353"	"MIN003"	"13006"	NA
"627"	"1922986391"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"Kansas City"	"MO"	"countyb"	"64167"	"NEN001"	"13006"	NA
